Aug 01 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 06:00:00 Router: %BGP-5-ADJCHANGE: neighbor ISP1 reset due to configuration change
Aug 05 06:00:00 Router: %BGP-5-ADJCHANGE: neighbor ISP1 established
Aug 05 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 05 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 05 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 05 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 05 23:00:00 Router: %BGP-5-ADJCHANGE: neighbor ISP2 reset due to configuration change
Aug 05 23:00:00 Router: %BGP-5-ADJCHANGE: neighbor ISP2 established
Aug 06 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 12:00:00 Router: %BGP-5-ADJCHANGE: neighbor ISP1 reset due to configuration change
Aug 06 12:00:00 Router: %BGP-5-ADJCHANGE: neighbor ISP1 established
Aug 06 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 06 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 06 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 06 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 06 23:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.4.1 state changed from Full to Down
Aug 06 23:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.4.1 state changed from Down to Full
Aug 07 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
